ticker,yahoo_symbol,symbol_type,active_flag,name,industry,market_cap,last_price,volume,source_symbol
FIZZ,FIZZ,stock,TRUE,National Beverage Corp. Common Stock,Consumer Staples,3251842902,34.73,330237,FIZZ
VC,VC,stock,TRUE,Visteon Corporation Common Stock,Consumer Discretionary,3251331758,121.8,643352,VC
GNW,GNW,stock,TRUE,Genworth Financial Inc Common Stock,Finance,3247918491,8.48,2359025,GNW
SHOO,SHOO,stock,TRUE,Steven Madden Ltd. Common Stock,Consumer Discretionary,3247916776,44.44,710174,SHOO
BULL,BULL,stock,TRUE,Webull Corporation Class A Ordinary Shares,Finance,3244093857,6.1,10572655,BULL
WOLF,WOLF,stock,TRUE,Wolfspeed Inc. Common Stock New,Technology,3241618772,67.06,7760302,WOLF
PPLI,PPLI,stock,TRUE,People Incorporated Common Stock,Technology,3239575451,43.55,1448750,PPLI
RHI,RHI,stock,TRUE,Robert Half Inc. Common Stock,Consumer Discretionary,3232477412,31.6,2082802,RHI
TENB,TENB,stock,TRUE,Tenable Holdings Inc. Common Stock,Technology,3229866089,29.29,3875157,TENB
NN,NN,stock,TRUE,NextNav Inc. Common Stock,Industrials,3218547391,23.59,5830610,NN
